SAMPID,Sample,Tissue
GTEX-1117F-0226-SM-5GZZ7,sample1,Adipose Tissue
GTEX-1117F-0426-SM-5EGHI,sample2,Muscle
GTEX-1117F-0526-SM-5EGHJ,sample3,Blood Vessel
GTEX-1117F-0626-SM-5N9CS,sample4,Blood Vessel
GTEX-1117F-0726-SM-5GIEN,sample5,Heart
GTEX-1117F-1326-SM-5EGHH,sample6,Adipose Tissue
GTEX-1117F-2926-SM-5GZYI,sample7,Skin
GTEX-1117F-3226-SM-5N9CT,sample8,Brain
GTEX-111CU-0226-SM-5GZXC,sample9,Thyroid
GTEX-111CU-0626-SM-5EGHL,sample10,Esophagus
GTEX-111CU-0726-SM-5GZYD,sample11,Esophagus
GTEX-111CU-0826-SM-5EGIJ,sample12,Esophagus
GTEX-111CU-1026-SM-5EGIL,sample13,Adipose Tissue
GTEX-111CU-1126-SM-5EGIM,sample14,Skin
GTEX-111CU-1226-SM-5EGIN,sample15,Colon
GTEX-111CU-1426-SM-5GZYP,sample16,Colon
GTEX-111CU-1826-SM-5GZYN,sample17,Adipose Tissue
GTEX-111CU-2026-SM-5GZZC,sample18,Muscle
GTEX-111FC-0126-SM-5N9DL,sample19,Skin
GTEX-111FC-0226-SM-5N9B8,sample20,Adipose Tissue
GTEX-111FC-0326-SM-5GZZ1,sample21,Muscle
GTEX-111FC-0426-SM-5N9CV,sample22,Blood Vessel
GTEX-111FC-0626-SM-5N9CU,sample23,Heart
GTEX-111FC-0826-SM-5GZWO,sample24,Heart
GTEX-111FC-1026-SM-5GZX1,sample25,Thyroid
GTEX-111FC-2526-SM-5GZXU,sample26,Skin
GTEX-111FC-3126-SM-5GZZ2,sample27,Brain
GTEX-111FC-3326-SM-5GZYV,sample28,Brain
GTEX-111VG-0008-SM-5Q5BG,sample29,Skin
GTEX-111VG-0326-SM-5GZX7,sample30,Heart
GTEX-111VG-0526-SM-5N9BW,sample31,Thyroid
GTEX-111VG-1626-SM-5EGIO,sample32,Skin
GTEX-111VG-2226-SM-5N9DU,sample33,Colon
GTEX-111VG-2326-SM-5N9BK,sample34,Adipose Tissue
GTEX-111VG-2426-SM-5GZXD,sample35,Skin
GTEX-111VG-2626-SM-5GZY2,sample36,Muscle
GTEX-111YS-0006-SM-5NQBE,sample37,Blood
GTEX-111YS-0008-SM-5Q5BH,sample38,Skin
GTEX-111YS-0326-SM-5GZZ3,sample39,Heart
GTEX-111YS-0426-SM-5987O,sample40,Heart
GTEX-111YS-0526-SM-5GZXJ,sample41,Blood Vessel
GTEX-111YS-0726-SM-5GZY8,sample42,Thyroid
GTEX-111YS-0826-SM-5GZYK,sample43,Esophagus
GTEX-111YS-0926-SM-5EGGI,sample44,Esophagus
GTEX-111YS-1026-SM-5GZYE,sample45,Esophagus
GTEX-111YS-1326-SM-5EGGK,sample46,Adipose Tissue
GTEX-111YS-1526-SM-5GZYW,sample47,Skin
GTEX-111YS-1626-SM-5GZZ9,sample48,Colon
GTEX-111YS-1826-SM-5GIEP,sample49,Colon
GTEX-111YS-2226-SM-5987P,sample50,Blood Vessel
GTEX-111YS-2326-SM-5987L,sample51,Muscle
GTEX-111YS-2426-SM-5GZZQ,sample52,Adipose Tissue
GTEX-1122O-0003-SM-5Q5DL,sample53,Blood
GTEX-1122O-0005-SM-5O99J,sample54,Blood
GTEX-1122O-0008-SM-5QGR2,sample55,Skin
GTEX-1122O-0226-SM-5N9DA,sample56,Thyroid
GTEX-1122O-0426-SM-5H12G,sample57,Blood Vessel
GTEX-1122O-0626-SM-5N9B9,sample58,Heart
GTEX-1122O-0826-SM-5GICV,sample59,Heart
GTEX-1122O-0926-SM-9YFLC,sample60,Adipose Tissue
GTEX-1122O-1026-SM-9WYSF,sample61,Skin
GTEX-1122O-1126-SM-5NQ8X,sample62,Blood Vessel
GTEX-1122O-1426-SM-5H11R,sample63,Colon
GTEX-1122O-1526-SM-5N9CL,sample64,Colon
GTEX-1122O-1626-SM-5N9CX,sample65,Esophagus
GTEX-1122O-1726-SM-5GICM,sample66,Esophagus
GTEX-1122O-1826-SM-5EGIP,sample67,Esophagus
GTEX-1122O-2026-SM-9YFMG,sample68,Adipose Tissue
GTEX-1122O-2126-SM-5EGIR,sample69,Skin
GTEX-1122O-2326-SM-9YFL9,sample70,Blood Vessel
GTEX-1122O-2426-SM-5GIDN,sample71,Muscle
GTEX-1128S-0005-SM-5P9HI,sample72,Blood
GTEX-1128S-0008-SM-5Q5DP,sample73,Skin
GTEX-1128S-0126-SM-5H12S,sample74,Thyroid
GTEX-1128S-0326-SM-5GZZF,sample75,Blood Vessel
GTEX-1128S-0926-SM-5GZZU,sample76,Adipose Tissue
GTEX-1128S-1626-SM-5H12O,sample77,Colon
GTEX-1128S-2126-SM-5H12U,sample78,Adipose Tissue
GTEX-1128S-2326-SM-5GZZY,sample79,Skin
GTEX-1128S-2426-SM-5H11B,sample80,Muscle
GTEX-1128S-2526-SM-5H11N,sample81,Blood Vessel
GTEX-1128S-2726-SM-5H12C,sample82,Brain
GTEX-1128S-2826-SM-5N9DI,sample83,Brain
GTEX-113IC-0006-SM-5NQ9C,sample84,Blood
GTEX-113IC-0008-SM-5QGRF,sample85,Skin
GTEX-113IC-0126-SM-5HL6T,sample86,Skin
GTEX-113IC-0226-SM-5HL5C,sample87,Adipose Tissue
GTEX-113IC-0426-SM-5HL5O,sample88,Blood Vessel
GTEX-113JC-0006-SM-5O997,sample89,Blood
GTEX-113JC-0008-SM-5QGR6,sample90,Skin
GTEX-113JC-0126-SM-5EGJW,sample91,Thyroid
GTEX-113JC-0726-SM-5GZZR,sample92,Adipose Tissue
GTEX-113JC-0926-SM-5H114,sample93,Esophagus
GTEX-113JC-1026-SM-5H117,sample94,Esophagus
GTEX-113JC-2326-SM-5EQ4E,sample95,Skin
GTEX-113JC-2726-SM-5EGIS,sample96,Muscle
GTEX-117XS-0005-SM-5PNU6,sample97,Blood
GTEX-117XS-0008-SM-5Q5DQ,sample98,Skin
GTEX-117XS-0426-SM-5GZZN,sample99,Blood Vessel
GTEX-117XS-0526-SM-5987Q,sample100,Thyroid
GTEX-117XS-0726-SM-5H131,sample101,Heart
GTEX-117XS-2226-SM-5GIE1,sample102,Colon
GTEX-117XS-2526-SM-5H11G,sample103,Muscle
GTEX-117XS-2726-SM-5N9BL,sample104,Skin
GTEX-117XS-3026-SM-5N9CA,sample105,Brain
GTEX-117XS-3126-SM-5GIDP,sample106,Brain
GTEX-117YW-0005-SM-5NQ8Z,sample107,Blood
GTEX-117YW-0008-SM-5QGRD,sample108,Skin
GTEX-117YW-0126-SM-5EGGN,sample109,Thyroid
GTEX-117YW-0226-SM-5N9CM,sample110,Blood Vessel
GTEX-117YW-0326-SM-5N9CY,sample111,Heart
GTEX-117YW-0426-SM-5GZZZ,sample112,Heart
GTEX-117YW-0826-SM-5H11O,sample113,Adipose Tissue
GTEX-117YW-1826-SM-5PNY5,sample114,Colon
GTEX-117YW-1926-SM-5H121,sample115,Esophagus
GTEX-117YW-2026-SM-5N9BH,sample116,Esophagus
GTEX-117YW-2426-SM-5Q5AE,sample117,Muscle
GTEX-117YW-2626-SM-5GZZH,sample118,Skin
GTEX-117YW-2726-SM-5GZZT,sample119,Blood Vessel
GTEX-117YX-0526-SM-5EGJH,sample120,Colon
GTEX-117YX-0626-SM-5EGJI,sample121,Heart
GTEX-117YX-0726-SM-5GIET,sample122,Adipose Tissue
GTEX-117YX-0826-SM-5H11J,sample123,Colon
GTEX-117YX-1126-SM-5H128,sample124,Heart
GTEX-117YX-1226-SM-5H11S,sample125,Thyroid
GTEX-117YX-1726-SM-5GZZS,sample126,Blood Vessel
GTEX-117YX-1826-SM-5H12K,sample127,Esophagus
GTEX-117YX-1926-SM-5GIEC,sample128,Skin
GTEX-117YX-2226-SM-5EGJJ,sample129,Adipose Tissue
GTEX-117YX-2326-SM-5H12W,sample130,Skin
GTEX-117YX-2526-SM-5EQ4Q,sample131,Muscle
GTEX-117YX-2626-SM-5EQ53,sample132,Blood Vessel
GTEX-1192W-0005-SM-5NQBQ,sample133,Blood
GTEX-1192W-0008-SM-5QGRE,sample134,Skin
GTEX-1192W-0126-SM-5EGGS,sample135,Thyroid
GTEX-1192W-0226-SM-5EGGT,sample136,Heart
GTEX-1192W-2626-SM-5Q5AF,sample137,Skin
GTEX-1192X-0005-SM-5NQC3,sample138,Blood
GTEX-1192X-0008-SM-5Q5B7,sample139,Skin
GTEX-1192X-0011-R10a-SM-DO941,sample140,Brain
GTEX-1192X-0011-R5a-SM-DNZZA,sample141,Brain
GTEX-1192X-0011-R6a-SM-DNZZB,sample142,Brain
GTEX-1192X-0011-R7b-SM-DNZZC,sample143,Brain
GTEX-1192X-0011-R8b-SM-DO11U,sample144,Brain
GTEX-1192X-0011-R9b-SM-DO934,sample145,Brain
GTEX-1192X-0226-SM-5H12D,sample146,Skin
GTEX-1192X-0426-SM-5GIEE,sample147,Muscle
GTEX-1192X-0726-SM-5987R,sample148,Heart
GTEX-1192X-1126-SM-5EGGU,sample149,Thyroid
